target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,raw_trust_status,trust_reason,allowed_downstream_use,auto_apply,production_change
2026-06-04,2026-06-05T17:43:44+01:00,1531369,GFA League,Gambia,Real de Banjul,Falcons,2026-06-04T17:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1531370,GFA League,Gambia,TMT,Bombada,2026-06-04T17:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1541615,Kakkonen - Lohko A,Finland,PEPO,Reipas,2026-06-04T17:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1541502,Kakkonen - Lohko B,Finland,ÅIFK,P-Iirot,2026-06-04T16:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1526552,Liga Pro Serie B,Ecuador,Cuniburo,Cumbayá,2026-06-04T21:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546561,Ligue 1,Senegal,AS Camberene,Jaraaf,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1513466,Ligue 1,Algeria,Ben Aknoun,USM Alger,2026-06-04T17:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546563,Ligue 1,Senegal,Casa Sport,DSC,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546568,Ligue 1,Senegal,Gorée,Stade de Mbour,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546565,Ligue 1,Senegal,Guédiawaye,Teungueth,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546564,Ligue 1,Senegal,Génération Foot,AJEL,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546562,Ligue 1,Senegal,HLM,Pikine,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546566,Ligue 1,Senegal,La Linguère,Wally Daan,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1546567,Ligue 1,Senegal,Ouakam,Sonacos,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1544779,Maranhense - 2,Brazil,Sao Luis,Tupan,2026-06-04T19:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1541081,Premier League,Ethiopia,Welayta Dicha,Negelle Arsi,2026-06-04T13:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1545729,Première Division,Mali,Bakaridjan,Stade Malien Bamako,2026-06-04T17:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1545732,Première Division,Mali,Mali Coura,Bougouni,2026-06-04T19:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1545731,Première Division,Mali,USFAS Bamako,Onze Créateurs,2026-06-04T17:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1538379,Primera División,Bolivia,Real Potosí,ABB,2026-06-04T01:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1530970,Pro League A,Uzbekistan,Kattaqurgon,FarDu,2026-06-04T13:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1531057,Pro League A,Uzbekistan,Respublika FA,Qiziriq,2026-06-04T14:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1530972,Pro League A,Uzbekistan,Shortan,Metalourg,2026-06-04T14:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1545630,Svenska Cupen,Sweden,Stocksund,Stockholm Internazionale,2026-06-04T18:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1524750,USL League Two,USA,Albion Colorado,Utah United,2026-06-04T23:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1524730,USL League Two,USA,Houston FC,Hill Country Lobos,2026-06-04T01:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
