date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country,home_recent_matches,home_goals_for_pg,home_goals_against_pg,home_btts_rate,home_over15_rate,home_over25_rate,away_recent_matches,away_goals_for_pg,away_goals_against_pg,away_btts_rate,away_over15_rate,away_over25_rate,data_enrichment_level,data_enrichment_updated_at,home_stats_season_used,away_stats_season_used,data_enrichment_source,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home,odds_1_draw,odds_1_away,odds_btts_yes,odds_btts_no,odds_over_1_5,odds_under_1_5,odds_over_2_5,odds_under_2_5,odds_over_3_5,odds_under_3_5,odds_bookmakers_count,odds_values_count,odds_market_count,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_over_2_5,imp_over_3_5,imp_under_3_5,odds_context_updated_at,odds_context_status,odds_context_v2_status,odds_context_v2_error
2026-05-05,AFC U17 Asian Cup,1012,2026,1523008,NS,Japan U17,12511,Qatar U17,21443,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Super Liga,332,2025,1528496,NS,Skalica,10542,FK Košice,10534,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Super Liga,332,2025,1528527,NS,Žilina,3554,Zemplín Michalovce,3552,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Cup,657,2025,1532905,NS,Flora Tallinn,687,Trans Narva,2274,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Kakkonen - Lohko B,248,2026,1541481,NS,Ilves II,9185,ÅIFK,13494,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Liga Leumit,382,2025,1541889,NS,Hapoel Kfar Saba,4497,Bnei Yehuda,4508,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Liga Leumit,382,2025,1541890,NS,Kafr Qasim,4493,Hapoel Acre,4482,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Liga Leumit,382,2025,1541891,NS,Maccabi Herzliya,4503,Hapoel Kfar Shalem,6160,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Liga Leumit,382,2025,1541892,NS,Hapoel Hadera,4500,Ironi Modi'in,6179,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Liga Leumit,382,2025,1541893,NS,Hapoel Rishon LeZion,4491,Kiryat Yam SC,20105,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Liga Leumit,382,2025,1541894,NS,Hapoel Ramat Gan,4489,Maccabi Petah Tikva,4495,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,417,2025,1542997,NS,Al Riffa,5482,Al Shabab,5480,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,417,2025,1542998,NS,Sitra,10238,Al Ahli,5580,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Ligue 1,386,2025,1543676,NS,Zoman,22584,Mouna,22583,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Ivory-Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,LFA First Division,760,2025,1543751,NS,BEA Mountain,16143,LISCR,8062,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,LFA First Division,760,2025,1543752,NS,Wologizi,26907,Discoveries,4048,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Oberliga - Bayern Süd,939,2025,1409138,NS,Gundelfingen,19234,1860 München II,12724,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Oberliga - Bremen,749,2025,1413296,NS,Union Bremen,16095,Brinkumer SV,12745,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,AFC U17 Asian Cup,1012,2026,1523009,NS,Indonesia U17,22502,China PR U17,21449,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Ligat Ha'al,383,2025,1540716,NS,Maccabi Tel Aviv,604,Hapoel Petah Tikva,4488,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,762,2025,1538863,NS,Tevragh-Zeïne,15521,Pompiers,21987,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Pro League,301,2025,1542136,NS,Baniyas SC,2877,Al-Dhafra,2873,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,United-Arab-Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Pro League,301,2025,1542137,NS,Dibba Al-Fujairah,2867,Al Bataeh,9136,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,United-Arab-Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Pro League,301,2025,1542138,NS,Al-Ittihad Kalba,2876,Khorfakkan,4912,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,United-Arab-Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Eredivisie,88,2025,1543677,NS,Waalwijk,417,Willem II,195,,,,,,,,,1.0,0.75,0.625,1.0,0.125,0.0,5.0,5.0,0.0,0.0,Netherlands,8.0,1.5,2.5,0.625,0.875,0.75,8.0,1.375,1.875,1.0,1.0,0.75,HISTORICAL_PRIOR_LAST_8,2026-05-07T17:49:19.955483+00:00,2024.0,2024.0,API_FREEPLAN_HISTORICAL_PRIOR|API_FREEPLAN_HISTORICAL_PRIOR,,,,,,,,,,,,,,,18.0,2026-05-07T17:57:24.222710+00:00,2.55,3.8,2.65,1.5,2.55,2.37,5.2,5.5,2.4,15.0,2.45,13.0,2664.0,106.0,0.3922,0.2632,0.3774,0.6667,0.3922,0.4219,0.1818,0.0667,0.4082,2026-05-07T18:39:42.681829+00:00,OK,API_ERROR,API devolvió errors en /odds
2026-05-05,Oberliga - Hamburg,745,2025,1407907,NS,Buchholz,12746,ETSV Hamburg,20851,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Oberliga - Hamburg,745,2025,1407947,NS,Victoria Hamburg,12890,Niendorfer TSV,12821,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Oberliga - Bremen,749,2025,1413295,NS,BTS Neustadt,16090,OSC Bremerhaven,16094,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Superettan,114,2026,1497545,NS,Falkenbergs FF,812,IFK Norrkoping,378,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,A Lyga,362,2026,1522797,NS,FK Trakai,638,Banga,3858,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,AFC U17 Asian Cup,1012,2026,1523010,NS,Saudi Arabia U17,21444,Myanmar U17,25309,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,233,2025,1533679,NS,Al Ahly,1577,Enppi,1037,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,233,2025,1533680,NS,Ceramica Cleopatra,14651,Pyramids FC,1036,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,233,2025,1533681,NS,Smouha SC,1044,Zamalek SC,1040,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Kvindeliga,638,2025,1534611,NS,AGF,14243,KoldingQ,13981,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,First League,172,2025,1540994,NS,Lokomotiv Sofia,1416,Botev Vratsa,859,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Iraqi League,542,2025,1543146,NS,Naft,11071,Al-Karma,25063,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Iraqi League,542,2025,1543147,NS,Al Talaba,11067,Al Zawra'a,8010,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,UEFA U17 Championship - Women,1102,2026,1543320,NS,Spain U17 W,25233,Finland U17 W,27105,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Emir Cup,824,2026,1543759,NS,Al-Duhail SC,2904,Al Sadd,2895,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Premier League,393,2025,1543842,NS,Zabbar St. Patrick,4622,Tarxien Rainbows,4629,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Oberliga - Hamburg,745,2025,1407955,NS,Vorwärts-Wacker 04,20895,Türkiye,19471,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Oberliga - Hamburg,745,2025,1408013,NS,Paloma,12828,Süderelbe,14796,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Oberliga - Bremen,749,2025,1413298,NS,Geestemünde,12769,Oberneuland,4263,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Regionalliga - Ost,221,2025,1418075,NS,Wiener SC,4965,Parndorf,4955,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
