summary_scope,metric,rows_total,value_num,value_text,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
by_execution_shortlist_source,lean_play_rows,2,0.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,premium_rows,2,2.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,standard_rows,2,0.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,wins,2,1.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,losses,2,1.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,pushes,2,0.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,voids,2,0.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,profit_units_total,2,-0.52,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,roi_percent,2,-26.0,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,avg_execution_score,2,114.223248,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_execution_shortlist_source,avg_primary_edge,2,0.158432,PREMIUM_CORE,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,shortlist_rows,1,1.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,result_available_rows,1,1.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,pending_rows,1,0.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,unmatched_rows,1,0.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,bet_rows,1,1.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,lean_play_rows,1,0.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,premium_rows,1,1.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,standard_rows,1,0.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,wins,1,0.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,losses,1,1.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,pushes,1,0.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,voids,1,0.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,profit_units_total,1,-1.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,roi_percent,1,-100.0,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,avg_execution_score,1,114.694064,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,avg_primary_edge,1,0.147641,Allsvenskan,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,shortlist_rows,1,1.0,K League 1,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,result_available_rows,1,1.0,K League 1,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
by_league,pending_rows,1,0.0,K League 1,2026-07-04,2026-07-05T09:47:43+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-07-04-20260705T094743Z
