target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,source_status,discovery_reason,auto_apply,production_change
2026-08-10,2026-08-10T19:09:58+01:00,1506511,Meistaradeildin,Faroe-Islands,NSI Runavik,Skála,2026-08-10T19:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1595902,Non League Premier - Isthmian,England,Carshalton Athletic,Wingate & Finchley,2026-08-10T19:45:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1581491,Premier League,Armenia,Alashkert,BKMA,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1561348,Premier League,Russia,Fakel,Akhmat,2026-08-10T17:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1565445,Premier League,Ukraine,Karpaty,LNZ Cherkasy,2026-08-10T16:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1565447,Premier League,Ukraine,Polessya,FC Kharkiv,2026-08-10T13:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1549713,Primera A,Colombia,Águilas Doradas,Llaneros,2026-08-10T22:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1549594,Primera B,Colombia,Tigres FC,Envigado,2026-08-10T20:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1500039,Primera C,Argentina,Fénix,Central Ballester,2026-08-10T19:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1500184,Primera C,Argentina,Leones de Rosario,Deportivo Muñiz,2026-08-10T19:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1500043,Primera C,Argentina,Sacachispas,Deportivo Paraguayo,2026-08-10T19:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1500044,Primera C,Argentina,Sportivo Barracas,Claypole,2026-08-10T19:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1612527,Primera División,Venezuela,Caracas FC,Deportivo La Guaira,2026-08-10T23:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1611278,Primera División,Uruguay,Deportivo Maldonado,Racing Montevideo,2026-08-10T23:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1612526,Primera División,Venezuela,Rayo Zuliano,Estudiantes de Merida FC,2026-08-10T20:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1498704,Primera Nacional,Argentina,All Boys,Central Norte,2026-08-10T19:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1498713,Primera Nacional,Argentina,Gimnasia Jujuy,Tristan Suarez,2026-08-10T19:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1530985,Pro League A,Uzbekistan,Lochin,Qiziriq,2026-08-10T13:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
