target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,promotion_status,promotion_reason,source_path,allowed_downstream_use,auto_apply,production_change
2026-06-10,2026-06-12T23:55:22+01:00,1532568,NNSW League 1,Australia,Lake Macquarie,Toronto Awaba Stags,2026-06-10T11:00:00+01:00,NOT_TRUSTED_NO_PROMOTION,raw candidate is not TRUSTED_RAW_SOURCE,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,DIAGNOSTIC_ONLY,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1532574,NNSW League 1,Australia,South Cardiff,Newcastle Croatia FC,2026-06-10T11:00:00+01:00,NOT_TRUSTED_NO_PROMOTION,raw candidate is not TRUSTED_RAW_SOURCE,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,DIAGNOSTIC_ONLY,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1532576,NNSW League 1,Australia,Wallsend Red Devils,New Lambton,2026-06-10T11:00:00+01:00,NOT_TRUSTED_NO_PROMOTION,raw candidate is not TRUSTED_RAW_SOURCE,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,DIAGNOSTIC_ONLY,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1527609,Premier League,Kyrgyzstan,Asiagoal,Toktogul,2026-06-10T16:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1495292,Premier Soccer League,Zimbabwe,Chicken Inn,CAPS United,2026-06-10T14:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1495295,Premier Soccer League,Zimbabwe,MWOS,Manica Diamonds,2026-06-10T14:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550665,Première Division,Mali,Derby Academie,Mali Coura,2026-06-10T17:15:00+01:00,NOT_TRUSTED_NO_PROMOTION,raw candidate is not TRUSTED_RAW_SOURCE,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,DIAGNOSTIC_ONLY,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1531059,Pro League A,Uzbekistan,BuxDu,Qiziriq,2026-06-10T13:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550651,Sudani Premier League,Sudan,Al-Hilal Omdurman II,Al-Merreikh II,2026-06-10T14:45:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1548302,Suomen Cup,Finland,Ilves,Lahti,2026-06-10T16:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1548301,Suomen Cup,Finland,KuPS,VPS,2026-06-10T15:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1548303,Suomen Cup,Finland,SJK,Inter Turku,2026-06-10T16:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545635,Svenska Cupen,Sweden,Balkan,Eskilsminne,2026-06-10T18:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545636,Svenska Cupen,Sweden,Eker Örebro,IF Karlstad,2026-06-10T18:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545634,Svenska Cupen,Sweden,Falu BS,Gefle IF,2026-06-10T17:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545649,Svenska Cupen,Sweden,Football Primetime,Karlskrona,2026-06-10T18:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545637,Svenska Cupen,Sweden,Lidköping,Skövde AIK,2026-06-10T18:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545647,Svenska Cupen,Sweden,Malmslatts AIK,Husqvarna,2026-06-10T18:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545648,Svenska Cupen,Sweden,Unik FK,Karlberg,2026-06-10T19:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545470,Tournoi Maurice Revello,World,Colombia U19,Tunisia U23,2026-06-10T18:00:00+01:00,NOT_TRUSTED_NO_PROMOTION,raw candidate is not TRUSTED_RAW_SOURCE,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,DIAGNOSTIC_ONLY,NO,NO
