target_date,generated_at,fixture_id,home_team,away_team,status,goals,stats_status,updated_fields,source_guard
2026-06-19,2026-06-19T12:03:01+01:00,1550061,Omaya SC,Al Taliya,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1534340,Lida,Gomel II,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1525899,Naftan,Baranovichi,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1529745,Babrungas,Be1 NFA,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1548697,Levski Sofia,Akademik Svishtov,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1554471,Liptovský Mikuláš,Baník Lehota p.Vtáčnikom,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1554472,Považská Bystrica,Pohronie,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1534339,Dinamo Minsk II,Slonim,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1554473,Grazer AK,Gyori ETO FC,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1496997,Hinna,Brodd,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1521627,Parnu JK Vaprus U21,Tallinna Kalev II,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1548954,Mārupe,Aliance,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1554470,Rače,Aluminij,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1553788,Al Fahaheel,Kazma,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1521628,Tulevik,Levadia U19,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1529747,Garliava,Transinvest 2,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1546578,Rapid Wien II,Oberwart,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1554474,Zirl,WSG Wattens,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
