tag,season,group,fixture_id,date,home,away,scenario_home,scenario_away,mult_home,mult_away,nontrivial,result_1x2,gh,ga,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25
AsianCup,2023,AsianCup2023#G2,1034523,2024-01-24,Iraq,Vietnam,le_vale_empate,debe_ganar,0.97,1.08,1,H,3.0,2.0,0.4648,0.2699,0.2653,1.61,1.049,0.4961,0.4514,0.2765,0.2721,1.561,1.133,0.5049
AsianCup,2023,AsianCup2023#G3,1034521,2024-01-23,Iran,United Arab Emirates,ya_clasificado,le_vale_empate,0.92,0.97,1,H,2.0,1.0,0.584,0.2531,0.1629,1.855,0.804,0.4961,0.5698,0.2528,0.1774,1.706,0.78,0.4526
AsianCup,2023,AsianCup2023#G3,1034520,2024-01-23,Hong Kong,Palestine,eliminado,tercero_en_disputa,0.95,1.0,1,A,0.0,3.0,0.1777,0.2565,0.5658,0.79,1.869,0.4961,0.1648,0.2564,0.5788,0.75,1.869,0.4863
AsianCup,2023,AsianCup2023#G4,1034524,2024-01-25,South Korea,Malaysia,le_vale_empate,eliminado,0.97,0.95,1,D,3.0,3.0,0.6489,0.1916,0.1596,1.998,0.661,0.4961,0.6435,0.2018,0.1548,1.938,0.628,0.4729
AsianCup,2023,AsianCup2023#G4,1034525,2024-01-25,Jordan,Bahrain,le_vale_empate,tercero_en_disputa,0.97,1.0,1,A,0.0,1.0,0.3621,0.3006,0.3373,1.412,1.247,0.4961,0.3605,0.3017,0.3378,1.369,1.247,0.4856
AsianCup,2023,AsianCup2023#G5,1034527,2024-01-25,Saudi Arabia,Thailand,ya_clasificado,le_vale_empate,0.92,0.97,1,D,0.0,0.0,0.452,0.2765,0.2716,1.57,1.088,0.4961,0.4401,0.2946,0.2653,1.445,1.056,0.4562
AsianCup,2023,AsianCup2023#G5,1034526,2024-01-25,Kyrgyzstan,Oman,eliminado,tercero_en_disputa,0.95,1.0,1,D,1.0,1.0,0.1597,0.2431,0.5972,0.752,1.907,0.4961,0.151,0.2343,0.6147,0.714,1.907,0.4868
CopaAmerica,2019,CopaAmerica2019#G0,83272,2019-06-22,Bolivia,Venezuela,eliminado,tercero_en_disputa,0.95,1.0,1,A,1.0,3.0,0.1565,0.2051,0.6384,0.696,1.962,0.4961,0.1577,0.2001,0.6422,0.661,1.962,0.4875
CopaAmerica,2019,CopaAmerica2019#G0,83273,2019-06-22,Peru,Brazil,le_vale_empate,le_vale_empate,0.97,0.97,1,A,0.0,5.0,0.062,0.1407,0.7973,0.415,2.244,0.4961,0.0612,0.1564,0.7824,0.402,2.176,0.4762
CopaAmerica,2019,CopaAmerica2019#G1,83274,2019-06-23,Colombia,Paraguay,ya_clasificado,le_vale_empate,0.92,0.97,1,H,1.0,0.0,0.7152,0.1901,0.0947,2.105,0.553,0.4961,0.6949,0.1948,0.1103,1.937,0.537,0.4493
CopaAmerica,2019,CopaAmerica2019#G1,83275,2019-06-23,Qatar,Argentina,tercero_en_disputa,debe_ganar,1.0,1.08,1,A,0.0,2.0,0.3369,0.3001,0.363,1.252,1.406,0.4961,0.3328,0.2822,0.3849,1.252,1.519,0.5236
CopaAmerica,2019,CopaAmerica2019#G2,83277,2019-06-24,Ecuador,Japan,eliminado,tercero_en_disputa,0.95,1.0,1,D,1.0,1.0,0.2686,0.2734,0.4581,1.049,1.61,0.4961,0.2518,0.2667,0.4816,0.996,1.61,0.4831
CopaAmerica,2019,CopaAmerica2019#G2,83276,2019-06-24,Chile,Uruguay,ya_clasificado,le_vale_empate,0.92,0.97,1,A,0.0,1.0,0.281,0.2763,0.4427,1.085,1.574,0.4961,0.2628,0.2968,0.4403,0.998,1.526,0.4624
CopaAmerica,2024,CopaAmerica2024#G0,1146313,2024-06-30,Argentina,Peru,ya_clasificado,debe_ganar,0.92,1.08,1,H,2.0,0.0,0.7667,0.1467,0.0866,2.235,0.423,0.4961,0.7237,0.1913,0.0849,2.056,0.457,0.4596
CopaAmerica,2024,CopaAmerica2024#G0,1189124,2024-06-30,Canada,Chile,le_vale_empate,tercero_en_disputa,0.97,1.0,1,D,0.0,0.0,0.3109,0.2826,0.4065,1.159,1.5,0.4961,0.2959,0.2946,0.4096,1.124,1.5,0.4875
CopaAmerica,2024,CopaAmerica2024#G1,1146315,2024-07-01,Mexico,Ecuador,tercero_en_disputa,le_vale_empate,1.0,0.97,1,D,0.0,0.0,0.2691,0.2566,0.4743,1.041,1.617,0.4961,0.2726,0.277,0.4504,1.041,1.568,0.484
CopaAmerica,2024,CopaAmerica2024#G1,1146314,2024-07-01,Jamaica,Venezuela,debe_ganar,le_vale_empate,1.08,0.97,1,A,0.0,3.0,0.1544,0.2157,0.6299,0.724,1.935,0.4961,0.1737,0.2577,0.5687,0.781,1.877,0.4961
CopaAmerica,2024,CopaAmerica2024#G2,1146316,2024-07-02,Bolivia,Panama,debe_ganar,tercero_en_disputa,1.08,1.0,1,A,1.0,3.0,0.198,0.2516,0.5504,0.832,1.826,0.4961,0.1989,0.2482,0.5529,0.899,1.826,0.5125
CopaAmerica,2024,CopaAmerica2024#G2,1146317,2024-07-02,USA,Uruguay,le_vale_empate,le_vale_empate,0.97,0.97,1,A,0.0,1.0,0.1992,0.252,0.5488,0.894,1.765,0.4961,0.2006,0.2535,0.5459,0.867,1.712,0.4762
CopaAmerica,2024,CopaAmerica2024#G3,1146318,2024-07-03,Brazil,Colombia,le_vale_empate,ya_clasificado,0.97,0.92,1,D,1.0,1.0,0.3614,0.3006,0.3379,1.398,1.261,0.4961,0.3798,0.31,0.3102,1.356,1.16,0.4602
CopaAmerica,2024,CopaAmerica2024#G3,1189125,2024-07-03,Costa Rica,Paraguay,tercero_en_disputa,eliminado,1.0,0.95,1,H,2.0,1.0,0.2884,0.2766,0.4351,1.105,1.554,0.4961,0.2959,0.2964,0.4077,1.105,1.476,0.4767
