fixture_id,date,season,league_tag,neutral,team,team_id,opp,opp_id,is_home,corners,yellow,red,shots,sot,fouls,possession
1503004,2026-03-31,2026,Friendlies,0,USA,2384,Portugal,27,1,1.0,0.0,,7.0,2.0,4.0,39.0
1503004,2026-03-31,2026,Friendlies,0,Portugal,27,USA,2384,0,3.0,1.0,,3.0,2.0,2.0,61.0
1537582,2026-03-31,2026,WCQ_ICPlayoff,0,Congo DR,1508,Jamaica,2385,1,5.0,0.0,,19.0,3.0,16.0,47.0
1537582,2026-03-31,2026,WCQ_ICPlayoff,0,Jamaica,2385,Congo DR,1508,0,7.0,2.0,,6.0,1.0,13.0,53.0
1511778,2026-03-31,2026,Friendlies,0,Spain,9,Egypt,32,1,11.0,0.0,0.0,25.0,6.0,11.0,61.0
1511778,2026-03-31,2026,Friendlies,0,Egypt,32,Spain,9,0,0.0,5.0,1.0,4.0,1.0,9.0,39.0
1537580,2026-03-31,2024,WCQ_Europe,0,Kosovo,1111,Türkiye,777,1,3.0,3.0,,11.0,2.0,12.0,43.0
1537580,2026-03-31,2024,WCQ_Europe,0,Türkiye,777,Kosovo,1111,0,2.0,5.0,,12.0,3.0,10.0,57.0
1502473,2026-03-31,2026,Friendlies,0,England,10,Japan,12,1,11.0,0.0,,19.0,4.0,7.0,70.0
1502473,2026-03-31,2026,Friendlies,0,Japan,12,England,10,0,1.0,2.0,,7.0,2.0,13.0,30.0
1511732,2026-03-31,2026,Friendlies,0,Austria,775,South Korea,17,1,4.0,1.0,,5.0,1.0,11.0,55.0
1511732,2026-03-31,2026,Friendlies,0,South Korea,17,Austria,775,0,6.0,0.0,,11.0,2.0,9.0,45.0
1503007,2026-03-31,2026,Friendlies,0,Netherlands,1118,Ecuador,2382,1,2.0,0.0,1.0,2.0,1.0,6.0,29.0
1503007,2026-03-31,2026,Friendlies,0,Ecuador,2382,Netherlands,1118,0,10.0,2.0,0.0,17.0,3.0,16.0,71.0
