team,corners_att,corners_conc,cards_att,cards_conc,shots_att,shots_conc
Honduras,0.0183,0.0517,0.0394,0.2105,0.0446,0.0567
New Zealand,0.0824,0.1192,-0.154,-0.2185,0.0279,0.1551
Bermuda,-0.0307,0.0735,0.0715,0.0317,-0.1092,0.065
El Salvador,-0.1029,0.0157,0.0713,0.018,-0.1663,-0.0881
Guatemala,0.0192,0.0365,-0.0617,0.1591,0.0106,-0.0225
Guyana,0.0014,0.0078,0.0385,0.0346,0.0031,0.0073
Nicaragua,-0.0011,-0.0101,0.0253,-0.0138,-0.1458,-0.0863
Trinidad and Tobago,-0.0662,0.0067,0.0799,0.0486,-0.1322,-0.0302
Barbados,-0.0498,-0.0227,0.0008,0.0234,-0.045,0.0024
Belize,-0.0357,0.0343,0.0245,0.0523,-0.0499,0.0083
Canada,0.1648,-0.1337,0.1551,0.0912,-0.0025,-0.1809
Curaçao,-0.2405,-0.1311,0.0784,0.0976,-0.1025,-0.1093
Dominican Republic,-0.0252,-0.0508,0.0307,0.0135,0.0395,-0.0304
Grenada,0.0035,-0.0015,-0.0124,0.0625,-0.0094,-0.063
Pakistan,-0.1429,0.0217,0.0591,-0.0438,-0.1053,0.0105
St. Kitts and Nevis,0.0231,-0.0445,-0.0372,0.0269,0.038,-0.0594
Puerto Rico,-0.1721,-0.0889,0.0302,0.0446,-0.044,0.0632
St. Lucia,-0.0912,0.0334,-0.0975,-0.0165,-0.09,0.0667
Somalia,0.0,0.0,-0.0405,-0.0195,0.0,0.0
Martinique,-0.0265,0.0409,0.0381,0.0404,-0.0121,-0.0066
Aruba,-0.2066,-0.0146,0.0123,-0.0809,-0.1688,0.0453
Montserrat,-0.0321,-0.0163,-0.0079,-0.0544,-0.0415,0.0085
Suriname,-0.0457,0.1009,-0.0818,-0.1352,-0.1078,0.0819
Guadeloupe,-0.0255,0.007,-0.0937,0.001,0.0427,0.0291
Saint Martin,-0.0258,-0.0057,0.0485,-0.0454,-0.0007,-0.0209
Sint Maarten,-0.038,0.031,-0.0283,0.0043,-0.01,0.0335
