fixture_id,kickoff_utc,team_id,team_name,opponent_id,opponent_name,side,predicted_sot_original,actual_sot,corrected_sot_global_ratio,corrected_sot_global_bias,corrected_sot_home_away_ratio,corrected_sot_pre_fixture,corrected_sot_leave_one_out,error_original,error_corrected_pre_fixture,abs_error_original,abs_error_corrected_pre_fixture,correction_mode,data_quality,confidence,reason
1567308,2026-07-01 20:00,13,Senegal,1,Belgium,away,5.815,5.0,5.192,5.32,4.92,5.243,5.199,0.815,0.243,0.815,0.243,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1562586,2026-07-02 00:00,1113,Bosnia & Herzegovina,2384,USA,away,3.795,3.0,3.389,3.3,3.211,3.412,3.423,0.795,0.412,0.795,0.412,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1562586,2026-07-02 00:00,2384,USA,1113,Bosnia & Herzegovina,home,6.161,2.0,5.501,5.666,5.784,5.539,5.558,4.161,3.539,4.161,3.539,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567311,2026-07-02 19:00,9,Spain,775,Austria,home,9.217,10.0,8.23,8.722,8.653,8.142,8.253,-0.783,-1.858,0.783,1.858,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567311,2026-07-02 19:00,775,Austria,9,Spain,away,3.16,0.0,2.822,2.665,2.674,2.792,2.83,3.16,2.792,3.16,2.792,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567309,2026-07-02 23:00,3,Croatia,27,Portugal,away,4.694,6.0,4.191,4.199,3.972,4.13,4.193,-1.306,-1.87,1.306,1.87,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567309,2026-07-02 23:00,27,Portugal,3,Croatia,home,5.5,3.0,4.911,5.005,5.164,4.839,4.912,2.5,1.839,2.5,1.839,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567312,2026-07-03 03:00,15,Switzerland,1532,Algeria,home,5.164,5.0,4.611,4.669,4.848,4.544,4.623,0.164,-0.456,0.164,0.456,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567312,2026-07-03 03:00,1532,Algeria,15,Switzerland,away,3.775,2.0,3.371,3.28,3.194,3.322,3.38,1.775,1.322,1.775,1.322,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1565178,2026-07-03 18:00,20,Australia,32,Egypt,home,3.541,1.0,3.162,3.046,3.324,3.105,3.183,2.541,2.105,2.541,2.105,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
